NewVolSales,Price,Radio ,StockOutPct,InStoreProm,Discount,Facebook,Twitter,WebCamp,Inserts,Online,WebsiteCampaign ,NewspaperInserts,TV 
"19,564",2.705,245,2.28342,15.452,0,0,0,0,0,0,,,145.4
"19,387",2.713,314,2.22134,16.388,0,0,0,0,0,0,,,66
"23,889",2.679,324,2.00604,62.692,0.05,0,0,0,0,0,,,155.1
"20,055",2.726,298,2.19897,16.573,0,0,0,0,0,0,,,114.5
"20,064",2.754,279,1.8186,41.504,0.045,0,0,0,0,0,,,96.5
"19,481",2.74,259,2.29155,20.404,0,0,0,0,0,0,,,139.1
"19,509",2.76,235,2.07661,32.477,0,0,0,0,0,0,,,80.2
"19,033",2.741,290,2.63739,16.617,0,0,0,0,0,0,,,129.8
"20,498",2.712,315,2.28031,44.796,0.035,0,0,0,0,0,,,124.5
"19,509",2.737,318,2.44064,27.272,0.045,0,0,0,0,0,,,215.1
"18,755",2.757,320,2.02237,19.054,0,0,0,0,0,0,,,157.3
"19,600",2.769,330,2.27081,36.818,0.065,1,0,0,0,1,Facebook,,187.4
